,bbox_list
000155de5.jpg,"[(465, 344, 501, 448)]"
00021ddc3.jpg,"[(705, 96, 720, 121), (732, 123, 768, 178), (629, 181, 638, 187), (661, 195, 665, 201)]"
0002756f7.jpg,"[(36, 324, 67, 351)]"
00031f145.jpg,"[(124, 443, 153, 472)]"
00053c6ba.jpg,"[(124, 736, 139, 752)]"
0005d01c8.jpg,"[(598, 72, 739, 237), (252, 476, 321, 556)]"
0006c52e8.jpg,"[(197, 190, 472, 407)]"
000d42241.jpg,"[(583, 480, 588, 488)]"
000e6378b.jpg,"[(401, 292, 422, 325)]"
000fd9827.jpg,"[(259, 69, 276, 85)]"
00113a75c.jpg,"[(273, 144, 312, 196), (50, 225, 91, 290), (118, 513, 159, 558), (41, 698, 70, 737)]"
001566f7c.jpg,"[(473, 91, 598, 273)]"
0019fc4d8.jpg,"[(111, 477, 166, 592)]"
001aee007.jpg,"[(61, 270, 114, 327), (712, 314, 768, 384), (549, 539, 622, 608), (65, 646, 195, 768)]"
001e418bc.jpg,"[(505, 158, 631, 296)]"
001eb2794.jpg,"[(682, 44, 698, 68)]"
001eda01f.jpg,"[(545, 479, 554, 492)]"
00269a792.jpg,"[(225, 89, 311, 163)]"
002c62c03.jpg,"[(47, 639, 62, 665)]"
002c78530.jpg,"[(66, 336, 73, 342), (189, 418, 210, 448)]"
002d56570.jpg,"[(373, 543, 411, 627)]"
002deeb16.jpg,"[(415, 112, 521, 328)]"
002e85393.jpg,"[(141, 175, 164, 194)]"
002fdcf51.jpg,"[(285, 345, 435, 601)]"
00319c32d.jpg,"[(481, 214, 486, 219)]"
003d43308.jpg,"[(544, 37, 648, 99)]"
003e2c95d.jpg,"[(329, 217, 349, 278)]"
0040cf4e9.jpg,"[(362, 447, 455, 700)]"
004141855.jpg,"[(0, 555, 61, 671)]"
0041d7084.jpg,"[(243, 20, 261, 36), (140, 116, 152, 124), (0, 159, 11, 166), (55, 213, 70, 225), (227, 216, 241, 231)]"
004331bef.jpg,"[(652, 150, 679, 184), (564, 316, 592, 348)]"
0046d5d83.jpg,"[(596, 22, 614, 38)]"
004bc7ae6.jpg,"[(707, 7, 722, 13), (176, 448, 190, 456)]"
004d7c73a.jpg,"[(67, 580, 80, 608)]"
004e68ede.jpg,"[(113, 668, 144, 695)]"
004f97cfb.jpg,"[(66, 514, 81, 533)]"
00552a73d.jpg,"[(38, 236, 46, 254), (47, 236, 48, 237), (0, 237, 89, 426)]"
0056d301c.jpg,"[(361, 348, 367, 362), (606, 488, 625, 510), (543, 605, 593, 687)]"
0056fbc62.jpg,"[(46, 493, 53, 510)]"
005883911.jpg,"[(358, 13, 425, 229)]"
005a7670a.jpg,"[(440, 393, 571, 585)]"
005d6a820.jpg,"[(220, 0, 341, 93), (485, 450, 606, 675), (627, 575, 732, 768), (365, 595, 451, 763)]"
005f02549.jpg,"[(663, 545, 680, 563)]"
005faf88a.jpg,"[(610, 108, 635, 128)]"
0060f6de0.jpg,"[(515, 439, 559, 599)]"
00610229c.jpg,"[(221, 426, 228, 438)]"
0062ad143.jpg,"[(617, 348, 623, 362)]"
0064956d4.jpg,"[(743, 411, 748, 430)]"
0070fe317.jpg,"[(443, 582, 453, 593)]"
0074d6c72.jpg,"[(526, 81, 595, 204)]"
007534159.jpg,"[(48, 232, 124, 344), (38, 346, 77, 406)]"
00761707d.jpg,"[(760, 639, 768, 646)]"
0076e2074.jpg,"[(402, 369, 422, 393)]"
007b39d27.jpg,"[(37, 708, 46, 717), (57, 713, 67, 724)]"
008127d89.jpg,"[(141, 297, 155, 319)]"
008129422.jpg,"[(459, 77, 478, 119)]"
008605bcf.jpg,"[(669, 78, 742, 169), (690, 608, 759, 680)]"
0086f828b.jpg,"[(336, 699, 346, 710)]"
008863fe8.jpg,"[(687, 49, 712, 70)]"
008bc8983.jpg,"[(311, 420, 318, 429)]"
008be7e31.jpg,"[(200, 122, 210, 133)]"
008d2170e.jpg,"[(420, 0, 569, 101), (64, 253, 118, 281), (46, 262, 60, 277), (267, 353, 304, 387), (12, 670, 58, 685)]"
008fd2b42.jpg,"[(200, 50, 224, 66)]"
0093754d4.jpg,"[(452, 222, 505, 347)]"
00975abe1.jpg,"[(698, 445, 727, 529)]"
0098456ff.jpg,"[(525, 165, 680, 287), (423, 595, 648, 768)]"
0098652ab.jpg,"[(466, 199, 476, 232), (67, 247, 120, 282)]"
00990fe74.jpg,"[(269, 644, 288, 659)]"
009c1116c.jpg,"[(689, 271, 701, 284)]"
009e22bfb.jpg,"[(420, 319, 457, 481)]"
009eb0e0c.jpg,"[(710, 499, 742, 546), (680, 641, 712, 686)]"
